grouped_linked_trip_mode,DRIVEALONE,SHARED2,SHARED3,WALK,BIKE,WALK-TRANSIT,PNR-TRANSIT,KNR-TRANSIT,TNC-TRANSIT,TAXI,TNC-REG,TNC-SHARED,SCHOOLBUS,All
DRIVEALONE,252046.0,35182.0,7327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294555.0
SHARED2,0.0,76246.0,7539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83785.0
SHARED3,0.0,0.0,20425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20425.0
WALK,4583.0,5040.0,1796.0,68449.0,0.0,24963.0,0.0,0.0,0.0,76.0,803.0,0.0,0.0,105710.0
BIKE,0.0,0.0,0.0,0.0,6439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439.0
WALK-TRANSIT,0.0,0.0,0.0,0.0,0.0,75316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75316.0
PNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,5023.0,0.0,0.0,0.0,0.0,0.0,0.0,5023.0
KNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5787.0,0.0,0.0,0.0,0.0,0.0,5787.0
TNC-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.0,0.0,0.0,0.0,0.0,788.0
TAXI,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,1110.0,0.0,0.0,0.0,1206.0
TNC-REG,0.0,0.0,0.0,0.0,0.0,2173.0,0.0,52.0,0.0,0.0,2334.0,0.0,0.0,4559.0
TNC-SHARED,0.0,0.0,0.0,0.0,0.0,1394.0,50.0,396.0,0.0,0.0,0.0,1569.0,0.0,3409.0
SCHOOLBUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,256629.0,116468.0,37087.0,68449.0,6439.0,103943.0,5073.0,6234.0,788.0,1186.0,3137.0,1569.0,0.0,607003.0
